cluster_no,tag
0,노점
1,노점
2,노점
3,노점
4,노점
5,노점
6,노점
7,노점
8,노점
9,노점
10,노점
11,노점
11,시장
12,노점
12,시장
13,노점
13,시장
14,노점
14,시장
15,노점
15,시장
16,노점
16,시장
17,노점
17,시장
17,한약재
18,노점
18,시장
18,포장
18,한약재
19,노점
19,시장
19,포장
20,노점
20,시장
20,포장
21,노점
21,떡
21,시장
21,포장
22,노점
22,떡
22,시장
23,가래떡
23,노점
23,떡
23,시장
24,노점
24,시장
24,주방도구
25,노점
25,분식
25,시장
25,주방도구
26,노점
26,분식
26,시장
27,노점
27,분식
27,시장
28,노점
28,분식
28,시장
29,노점
29,분식
29,시장
30,꼬치
30,노점
30,분식
30,시장
31,꼬치
31,노점
31,분식
31,시장
31,튀김
32,꼬치
32,떡
32,분식
32,시장
32,튀김
33,꼬치
33,붕어빵
33,시장
33,튀김
34,꼬치
34,노점
34,시장
35,꼬치
35,노점
36,꼬치
36,노점
36,순대
37,꼬치
37,노점
37,핫도그
38,꼬치
38,노점
38,분식
39,노점
39,분식
40,노점
40,분식
41,노점
41,분식
41,빵
42,노점
42,분식
42,빵
42,시장
43,노점
43,도너츠
43,분식
43,빵
43,시장
43,핫도그
44,노점
44,도너츠
44,분식
44,빵
44,시장
44,튀김
44,핫도그
45,노점
45,분식
45,붕어빵
45,빵
45,시장
45,어묵
45,주방도구
45,튀김
45,핫도그
46,노점
46,분식
46,붕어빵
46,빵
46,뻥튀기
46,시장
46,주방도구
46,튀김
47,노점
47,붕어빵
47,빵
47,시장
47,주방도구
48,노점
48,붕어빵
48,빵
48,뻥튀기
48,시장
49,노점
49,빵
49,시장
49,의류
49,좌석있음
49,주방도구
49,포장
50,노점
50,시장
50,의류
50,포장
51,노점
51,모자
51,시장
51,의류
52,노점
52,시장
52,신발
52,의류
53,노점
53,빵
53,시장
53,신발
53,의류
53,주방도구
54,노점
54,시장
54,음료
54,의류
54,좌석있음
54,주방도구
55,노점
55,음료
55,좌석있음
55,주방도구
56,노점
56,좌석있음
56,주방도구
57,노점
57,분식
57,좌석있음
57,주방도구
58,노점
58,분식
58,빵
58,시장
58,좌석있음
58,주방도구
59,노점
59,분식
59,시장
59,젓갈
59,좌석있음
59,주방도구
60,분식
60,시장
60,의류
60,장신구
60,좌석있음
60,주방도구
60,칼국수
61,시장
61,장난감
61,장신구
61,좌석있음
61,주방도구
62,모자
62,시장
62,주방도구
63,시장
63,주방도구
63,해산물
64,시장
64,해산물
65,생선
65,시장
65,해산물
66,생선
66,시장
66,해산물
67,생선
67,시장
67,해산물
68,건어물
68,반찬
68,생선
68,시장
68,해산물
69,건어물
69,반찬
69,시장
69,포장
69,해산물
70,건어물
70,견과류
70,반찬
70,시장
70,포장
70,한약재
71,건어물
71,시장
71,포장
71,한약재
72,건어물
72,시장
72,한약재
73,건어물
73,시장
73,한약재
74,건어물
74,시장
75,건어물
75,시장
76,건강식품
76,건어물
76,시장
77,건강식품
77,건어물
77,견과류
77,시장
77,한약재
78,건강식품
78,건어물
78,견과류
78,노점
78,시장
78,포장
78,한약재
79,건강식품
79,건어물
79,견과류
79,과일
79,과자
79,시장
79,포장
79,한약재
80,건강식품
80,건어물
80,견과류
80,곶감
80,과일
80,과자
80,시장
80,포장
80,한약재
81,가래떡
81,건어물
81,견과류
81,과자
81,시장
81,포장
81,한약재
82,가래떡
82,건강식품
82,건어물
82,게
82,견과류
82,과자
82,시장
82,참깨
82,포장
83,건강식품
83,게
83,견과류
83,곶감
83,과일
83,과자
83,노점
83,시장
84,건어물
84,견과류
84,과일
84,과자
84,노점
84,시장
85,건어물
85,견과류
85,과일
85,과자
86,건어물
86,견과류
86,과일
86,과자
86,디저트
86,빵
86,시장
86,포장
87,건어물
87,포장
87,한약재
88,노점
88,포장
88,한약재
89,노점
89,포장
89,한약재
90,노점
90,콩
90,포장
91,포장
92,포장
93,포장
94,포장
95,포장
96,포장
97,빵
97,포장
98,빵
98,포장
99,빵
99,포장
100,빵
101,빵
102,노점
102,빵
103,노점
103,디저트
103,빵
104,노점
104,디저트
104,빵
105,노점
105,디저트
105,아이스크림
106,노점
106,아이스크림
106,음료
107,노점
107,시장
107,음료
108,노점
108,시장
108,음료
108,좌석있음
109,노점
109,빵
109,시장
109,좌석있음
110,노점
110,좌석있음
111,좌석있음
112,순대
112,좌석있음
113,시장
113,좌석있음
113,카페
113,커피
114,과일
114,시장
114,음료
114,카페
115,과일
115,시장
115,음료
115,의류
116,과일
116,시장
117,과일
117,수박
117,시장
118,과일
118,시장
118,포장
119,시장
119,포장
120,떡
120,시장
120,포장
121,떡
121,포장
122,떡
123,떡
123,주방도구
124,과자
124,디저트
124,떡
125,과자
125,디저트
125,빵
126,과자
126,포장
127,반찬
127,포장
128,국수
128,포장
129,국수
129,채소
130,배추
130,시장
130,채소
131,배추
131,시장
131,채소
131,콩나물
132,건어물
132,시장
132,채소
133,건어물
133,노점
133,시장
133,채소
134,건어물
134,노점
134,분식
134,시장
135,노점
135,만두
135,분식
135,시장
136,노점
136,닭강정
136,분식
136,시장
137,김밥
137,노점
137,닭강정
137,시장
138,김밥
138,시장
139,김밥
